Model year,Make,Model,Trim,Fuel Type,Electric range equal to or greater than 50 km,Incentive for Purchase or 48 month Lease,Incentive for 36 month Lease,Incentive for 24 month Lease,Incentive for 12 month Lease,Eligibility date (Year-month-day),_source_url
2019,Volkswagen,e-Golf,Comfortline,BEV,True,5000,3750,2500,1250,2019-05-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2017/2018,Volkswagen,e-Golf,Comfortline,BEV,True,5000,3750,2500,1250,2019-09-16,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,EC40,Single Motor Extended Range Twin Motor,BEV,True,5000,3750,2500,1250,2024-07-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,EX30,Twin Motor Performance,BEV,True,5000,3750,2500,1250,2024-08-29 to 2024-10-01 *,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,EX30,Single Motor Extended Range,BEV,True,5000,3750,2500,1250,2024-06-09 to 2024-10-01 *,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,EX40,Single Motor Extended Range Twin Motor,BEV,True,5000,3750,2500,1250,2024-07-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,S60,Plug-in hybrid,PHEV,True,5000,3750,2500,1250,2024-07-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2025,Volvo,XC60,Plug-in hybrid,PHEV,True,5000,3750,2500,1250,2024-06-17 to 2024-10-01 *,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2024,Volvo,C40 Recharge,Single Motor Twin Motor,BEV,True,5000,3750,2500,1250,2023-05-17,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2024,Volvo,S60,Recharge,PHEV,True,5000,3750,2500,1250,2023-06-12,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2024,Volvo,XC40 Recharge,Single Motor Twin Motor,BEV,True,5000,3750,2500,1250,2023-05-17,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2024,Volvo,XC60,Recharge,PHEV,True,5000,3750,2500,1250,2024-03-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2023,Volvo,C40,Recharge,BEV,True,5000,3750,2500,1250,2022-08-16,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2023,Volvo,V60,Recharge,PHEV,True,5000,3750,2500,1250,2022-09-13,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2023,Volvo,XC40,Recharge,BEV,True,5000,3750,2500,1250,2022-08-16,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2022,Volvo,V60 Recharge,R Design (Extended Range),PHEV,True,5000,3750,2500,1250,2022-04-25,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2022,Volvo,XC40 Recharge,,BEV,True,5000,3750,2500,1250,2022-04-25,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2018/2019,smart,EQ fortwo cabriolet,,BEV,True,5000,3750,2500,1250,2019-05-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2018/2019,smart,EQ fortwo coupe,,BEV,True,5000,3750,2500,1250,2019-05-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2017/2018,smart,fortwo electric drive cabriolet,,BEV,True,5000,3750,2500,1250,2019-05-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
2017/2018,smart,fortwo electric drive coupe,,BEV,True,5000,3750,2500,1250,2019-05-01,https://tc.canada.ca/en/road-transportation/innovative-technologies/zero-emission-vehicles/incentives-zero-emission-vehicles/eligible-vehicles?page=10
